TypeSectionCode ;code ;DescriptionInEnglish ;DescriptionInRussian ;NameInEngish ;NameInRussian ;id
H ;CHNL ;that part of a lake having water deep enough for navigation between islands, shoals, etc. ;часть озера с достаточной глубиной воды для плавания между островами, отмелями и т. д. ;lake channel(s) ;канал(ы) озера ;aee365b5-ca54-4df7-8cf7-0b087e5aeabd
H ;CHNM ;that part of a body of water deep enough for navigation through an area otherwise not suitable ;часть водоема, достаточно глубокая для плавания в районе, в противном случае непригодном ;marine channel ;морской канал ;d8dbcf4c-28e9-4dc4-8846-f427d60b7a8b
H ;CHNN ;a buoyed channel of sufficient depth for the safe navigation of vessels ;обвалованный канал достаточной глубины для безопасного плавания судов ;navigation channel ;навигационный канал ;474cce9c-e776-4707-b540-ebb52dfc00ac
H ;CNFL ;a place where two or more streams or intermittent streams flow together ;место, где сливаются два или более ручья или прерывистые ручьи ;confluence ;слияние ;076945bd-b660-4833-858d-a5bd83c28476
H ;CNL ;an artificial watercourse ;искусственный водоток ;canal ;канал ;027fe634-83c0-4a0c-8679-28d3ec29f4bc
H ;CNLA ;a conduit used to carry water ;трубопровод, используемый для подачи воды ;aqueduct ;акведук ;2605abaf-304a-4b2b-87ba-43e8714fd76f
H ;CNLB ;a conspicuously curved or bent section of a canal ;заметно искривленный или искривленный участок канала ;canal bend ;изгиб канала ;b43a7669-66af-4ded-bdde-237d058e4da5
H ;CNLD ;an artificial waterway carrying water away from a wetland or from drainage ditches ;искусственный водный путь, отводящий воду от заболоченной местности или дренажных канав ;drainage canal ;дренажный канал ;05f8aeae-46e9-4c20-a1ff-5a5e59bbdfb3
H ;CNLI ;a canal which serves as a main conduit for irrigation water ;канал, служащий основным водоводом для поливной воды ;irrigation canal ;оросительный канал ;760f977b-7458-4865-b1d6-e88837aab42a
H ;CNLN ;a watercourse constructed for navigation of vessels ;водоток, устроенный для плавания судов ;navigation canal(s) ;судоходный канал (каналы) ;857067c1-c799-4077-8a4e-de7a5a3bb7c5
H ;CNLQ ;" " ;" " ;abandoned canal ;заброшенный канал ;506e74b2-6797-4717-a099-ec2831661fc6
H ;CNLSB ;a gently inclined underground tunnel bringing water for irrigation from aquifers ;пологий подземный туннель, по которому вода для орошения поступает из водоносных горизонтов ;underground irrigation canal(s) ;подземный оросительный канал (каналы) ;61b01639-212f-4c9d-91a8-7466f177497a
H ;CNLX ;" " ;" " ;section of canal ;участок канала ;fda5fb35-e449-46fb-bcef-f7cb18d10585
H ;COVE ;a small coastal indentation, smaller than a bay ;небольшое прибрежное углубление, меньше залива ;cove(s) ;бухта (ы) ;b197a7dc-b40a-4741-8989-b98d9573b9e1
H ;CRKT ;a meandering channel in a coastal wetland subject to bi-directional tidal currents ;извилистый канал в прибрежной заболоченной местности, подверженный двунаправленным приливным течениям ;tidal creek(s) ;приливный ручей (ы) ;7693a29d-82f2-440a-85d8-35366c3ecf0a
H ;CRNT ;a horizontal flow of water in a given direction with uniform velocity ;горизонтальный поток воды в заданном направлении с постоянной скоростью ;current ;текущий ;e28d9d64-9ff5-42d3-bf37-20b82cd03094
H ;CUTF ;a channel formed as a result of a stream cutting through a meander neck ;русло, образовавшееся в результате прорезания ручьем горловины меандра ;cutoff ;отрезать ;64bef8d1-dcc5-4dc7-95fb-2052fa64cf55
H ;DCK ;a waterway between two piers, or cut into the land for the berthing of ships ;водный путь между двумя пирсами или врезанный в землю для стоянки кораблей ;dock(s) ;док (ы) ;11549828-4277-487e-8f65-a153c7275fa9
H ;DCKB ;a part of a harbor where ships dock ;часть гавани, куда причаливают корабли ;docking basin ;стыковочный бассейн ;f81ee780-07c3-4f5f-aa80-ed8ad1d27aa1
H ;DOMG ;a comparatively elevated area on an icecap ;сравнительно возвышенное место на ледяной шапке ;icecap dome ;ледяной купол ;9d0a6ddd-bb7c-462c-a2ac-358f9efcfbf7
H ;DPRG ;a comparatively depressed area on an icecap ;сравнительно депрессивная область на ледяной шапке ;icecap depression ;депрессия ледникового покрова ;3af63f90-a842-454c-897d-ffbac131957c
H ;DTCH ;a small artificial watercourse dug for draining or irrigating the land ;небольшой искусственный водоток, вырытый для осушения или орошения земли ;ditch ;канава ;747ef04e-910e-41a2-9c55-fdad09f35178
H ;DTCHD ;a ditch which serves to drain the land ;канава, служащая для осушения земли ;drainage ditch ;дренажная канава ;6cd6ff16-aa75-4625-b240-b41295e88e1f
H ;DTCHI ;a ditch which serves to distribute irrigation water ;канава, служащая для распределения поливной воды ;irrigation ditch ;оросительная канава ;eb506ac7-6520-4b42-89a2-44b3f3f89103
H ;DTCHM ;an area where a drainage ditch enters a lagoon, lake or bay ;место, где дренажная канава впадает в лагуну, озеро или залив ;ditch mouth(s) ;устье канавы ;9adc96e1-dd12-4f86-a2a6-2deabc90d412
H ;ESTY ;a funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences ;устье ручья в форме воронки или залив, где пресная вода смешивается с морской водой под влиянием приливов и отливов ;estuary ;эстуарий ;459c82a7-3d3c-423d-934b-37ddcdf75680
H ;FISH ;a fishing ground, bank or area where fishermen go to catch fish ;рыболовное угодье, берег или район, куда рыбаки ходят ловить рыбу ;fishing area ;рыболовный район ;afc86b14-600d-4f87-90bd-ef427d19d818
H ;FJD ;a long, narrow, steep-walled, deep-water arm of the sea at high latitudes, usually along mountainous coasts ;длинный, узкий, крутостенный, глубоководный рукав моря в высоких широтах, обычно вдоль гористых берегов ;fjord ;фьорд ;d4cfd3e0-1570-4f67-b5ac-2f2fbe64336b
H ;FJDS ;long, narrow, steep-walled, deep-water arms of the sea at high latitudes, usually along mountainous coasts ;длинные, узкие, крутостенные, глубоководные рукава моря в высоких широтах, обычно вдоль гористых берегов ;fjords ;фьорды ;8845ae2c-20fe-47b9-b498-194398ae9c89
H ;FLLS ;a perpendicular or very steep descent of the water of a stream ;перпендикулярный или очень крутой спуск воды ручья ;waterfall(s) ;водопад (ы) ;5c2c438e-4251-4d85-a6f5-cd2eb7efea99
H ;FLLSX ;" " ;" " ;section of waterfall(s) ;участок водопада (ов) ;acbd32a7-1214-4446-9098-b8745e7f0f0b
H ;FLTM ;a relatively level area of mud either between high and low tide lines, or subject to flooding ;относительно ровная область грязи либо между линиями прилива и отлива, либо подверженная затоплению ;mud flat(s) ;илистая равнина (ы) ;2fb13b64-2a0a-4fea-a2fa-6f7c54b77ff5
H ;FLTT ;a large flat area of mud or sand attached to the shore and alternately covered and uncovered by the tide ;большая плоская площадка из ила или песка, примыкающая к берегу и попеременно покрываемая и открываемая приливом ;tidal flat(s) ;приливная квартира (ы) ;63480e0b-520c-42e0-a5b3-1c7224aab3ff
H ;GLCR ;a mass of ice, usually at high latitudes or high elevations, with sufficient thickness to flow away from the source area in lobes, tongues, or masses ;масса льда, обычно в высоких широтах или на больших высотах, с достаточной толщиной, чтобы течь от источника в виде лепестков, языков или масс ;glacier(s) ;ледник(и) ;32675450-72a3-4804-9f49-a076aba9e429
H ;GULF ;a large recess in the coastline, larger than a bay ;большое углубление в береговой линии, больше залива ;gulf ;залив ;119b7ba7-d3dc-4d6c-ae2a-da1e18f2acd7
H ;GYSR ;a type of hot spring with intermittent eruptions of jets of hot water and steam ;тип горячего источника с периодическими извержениями струй горячей воды и пара ;geyser ;гейзер ;17e2f75b-2056-4a04-9738-caa648ce1a2f
H ;HBR ;a haven or space of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships ;гавань или пространство на большой глубине, настолько защищенное прилегающей землей, что оно обеспечивает безопасную якорную стоянку для кораблей ;harbor(s) ;гавань (и) ;0dd3eb5f-073f-4fbe-9b3e-6c6135192c46
H ;HBRX ;" " ;" " ;section of harbor ;участок гавани ;8601a165-1d33-415d-b1bd-ac579744f66a
H ;INLT ;a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water ;узкий водный путь, уходящий в сушу или соединяющий залив или лагуну с большим водоемом ;inlet ;вход ;ff598864-16b9-4e2d-9718-40c3af78307d
H ;INLTQ ;an inlet which has been filled in, or blocked by deposits ;вход, который был заполнен или заблокирован отложениями ;former inlet ;бывший вход ;a1bc790c-798a-44e5-b16a-beeb01208d40
H ;LBED ;a dried up or drained area of a former lake ;высохший или осушенный участок бывшего озера ;lake bed(s) ;дно озера ;b7648712-842c-46cc-ba46-e3674cce3df3
H ;LGN ;a shallow coastal waterbody, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature ;мелководный прибрежный водоем, полностью или частично отделенный от более крупного водоема барьерным островом, коралловым рифом или другим осадочным элементом ;lagoon ;лагуна ;623ee213-25a6-4003-a645-4706b7ffc3bd
H ;LGNS ;shallow coastal waterbodies, completely or partly separated from a larger body of water by a barrier island, coral reef or other depositional feature ;мелководные прибрежные водоемы, полностью или частично отделенные от более крупного водоема барьерным островом, коралловым рифом или другим элементом осадконакопления ;lagoons ;лагуны ;73d5882e-998f-4a95-8228-4c4d7f5b3839
H ;LGNX ;" " ;" " ;section of lagoon ;часть лагуны ;6ac28b01-abd0-43b7-8069-9c99db736b7e
H ;LK ;a large inland body of standing water ;большой внутренний водоем со стоячей водой ;lake ;озеро ;fbae3b84-bc0e-4f8b-aafd-c2a688627b64
H ;LKC ;a lake in a crater or caldera ;озеро в кратере или кальдере ;crater lake ;кратерное озеро ;1b09ac58-c1a6-4002-b1b0-b6c05b231ffb
H ;LKI ;" " ;" " ;intermittent lake ;прерывистое озеро ;5f87ff00-ee20-4f60-8fff-df0ac4ffae51
H ;LKN ;an inland body of salt water with no outlet ;внутренний водоем с соленой водой, не имеющий выхода ;salt lake ;соленое озеро ;00cc309f-c422-4b75-bb7b-639afda15202
H ;LKNI ;" " ;" " ;intermittent salt lake ;прерывистое соленое озеро ;1cc0fdc2-eb5c-47d7-9390-647a911002e5
H ;LKO ;a crescent-shaped lake commonly found adjacent to meandering streams ;озеро в форме полумесяца, обычно расположенное рядом с извилистыми ручьями ;oxbow lake ;старичное озеро ;5f6f0682-6b05-45aa-9114-ce58b273e6ee
H ;LKOI ;" " ;" " ;intermittent oxbow lake ;прерывистое старичное озеро ;fbf455eb-c4b9-425f-a4d5-7779d8064560
H ;LKS ;large inland bodies of standing water ;большие внутренние водоемы со стоячей водой ;lakes ;озера ;31874ba1-ca8e-4eb9-98bd-85bcff0fe592
H ;LKSB ;a standing body of water in a cave ;стоячий водоем в пещере ;underground lake ;подземное озеро ;8a99bfff-92ad-47f8-afea-e9c6e75ce1cd
H ;LKSC ;lakes in a crater or caldera ;озера в кратере или кальдере ;crater lakes ;кратерные озера ;45b4f7ad-395b-43dc-9ff8-07b510a7c4f2
H ;LKSI ;" " ;" " ;intermittent lakes ;пересыхающие озера ;1469fe1d-889b-4abf-9cf4-8d47314e0c3d
H ;LKSN ;inland bodies of salt water with no outlet ;внутренние водоемы с соленой водой без выхода ;salt lakes ;соленые озера ;ac154fdc-6284-470c-af76-717a1573244f
H ;LKSNI ;" " ;" " ;intermittent salt lakes ;перемежающиеся соленые озера ;b91d0f33-66e7-4881-aafd-673ae28d1797
H ;LKX ;" " ;" " ;section of lake ;участок озера ;3de26699-5908-4723-aa22-61ab9d91d858
H ;MFGN ;diked salt ponds used in the production of solar evaporated salt ;обвалованные соляные пруды, используемые для производства солнечной выпаренной соли ;salt evaporation ponds ;соляные пруды-испарители ;087c27b1-6f41-40e4-a700-21a634e748df
H ;MGV ;a tropical tidal mud flat characterized by mangrove vegetation ;тропическая приливная илистая равнина с мангровой растительностью ;mangrove swamp ;мангровое болото ;5625d6d3-75e1-40f8-83ec-17dd8f5c3597
H ;MOOR ;an area of open ground overlaid with wet peaty soils ;участок открытого грунта с влажными торфяными почвами ;moor(s) ;болото (ы) ;cb8edce8-db99-48a2-9886-90cb10dfe792
H ;MRSH ;a wetland dominated by grass-like vegetation ;водно-болотное угодье с преобладанием травянистой растительности ;marsh(es) ;болото (а) ;3d070fda-41db-4dd9-9fda-464e6489215d
H ;MRSHN ;a flat area, subject to periodic salt water inundation, dominated by grassy salt-tolerant plants ;равнинная местность, подверженная периодическому затоплению соленой водой, с преобладанием травянистых солеустойчивых растений ;salt marsh ;болото, периодически затопляемое морской водой ;0384950d-5036-4694-86e2-f5cf4739d660
H ;NRWS ;a navigable narrow part of a bay, strait, river, etc. ;судоходная узкая часть залива, пролива, реки и т. д. ;narrows ;сужает ;a516a1eb-5436-435a-a657-0fc1b8376807
H ;OCN ;one of the major divisions of the vast expanse of salt water covering part of the earth ;одно из основных подразделений огромного пространства соленой воды, покрывающего часть земли ;ocean ;океан ;e4e9b37e-405c-44c1-9a23-3607e5e8b5d4
H ;OVF ;an area of breaking waves caused by the meeting of currents or by waves moving against the current ;область прибойных волн, вызванная встречей течений или волнами, движущимися против течения ;overfalls ;подвергся нападению ;4a0ce9aa-9d02-49e3-85b2-0eeb8dec0e31
H ;PND ;a small standing waterbody ;небольшой стоячий водоем ;pond ;пруд ;8c5f8036-9346-4ecd-85bb-865c37e0ae7f
H ;PNDI ;" " ;" " ;intermittent pond ;прерывистый пруд ;a304b4db-1295-43f1-a3be-de8c13c876c0
H ;PNDN ;a small standing body of salt water often in a marsh or swamp, usually along a seacoast ;небольшой стоячий водоем с соленой водой, часто на болоте или болоте, обычно вдоль морского побережья ;salt pond ;соляной пруд ;a1437034-c54b-45b1-94f7-fbe1897545a9
H ;PNDNI ;" " ;" " ;intermittent salt pond(s) ;периодический соляной пруд (ы) ;e98f0dca-3678-4322-97e5-32689c2cec76
H ;PNDS ;small standing waterbodies ;небольшие стоячие водоемы ;ponds ;пруды ;07f79d1b-f681-44d7-aaee-0989ce9c6823
H ;PNDSF ;ponds or enclosures in which fish are kept or raised ;пруды или вольеры, в которых содержится или выращивается рыба ;fishponds ;пруды ;7926248d-0928-49e1-9f35-ed1751e49d79
H ;PNDSI ;" " ;" " ;intermittent ponds ;прерывистые пруды ;5eaee380-8c1f-4b74-b0c5-fc79a0b0650e
H ;PNDSN ;small standing bodies of salt water often in a marsh or swamp, usually along a seacoast ;небольшие стоячие водоемы с соленой водой, часто на болотах или болотах, обычно вдоль побережья ;salt ponds ;соляные пруды ;d0e5f0ec-074d-4c3b-89fb-20bd992fef4f
H ;POOLI ;" " ;" " ;intermittent pool ;временный бассейн ;877d6409-0d88-4d74-b7a5-2ff88175e333
H ;RCH ;a straight section of a navigable stream or channel between two bends ;прямой участок судоходного ручья или русла между двумя излучинами ;reach ;достигать ;be4685d1-9fea-4d54-a921-9811bfe90907
H ;RDGG ;a linear elevation on an icecap ;линейное возвышение на ледяной шапке ;icecap ridge ;ледниковый хребет ;ad96ec3b-6b07-4202-8d6c-7328ba00128d
H ;RDST ;an open anchorage affording less protection than a harbor ;открытая якорная стоянка, обеспечивающая меньшую защиту, чем гавань ;roadstead ;рейд ;a88c660c-78b4-46ea-8cf8-eb40b2d38e55
H ;RF ;a surface-navigation hazard composed of consolidated material ;опасность надводного плавания, состоящая из уплотненного материала ;reef(s) ;риф (ы) ;048d691c-2957-43ff-887e-289398c5913f
H ;RFC ;a surface-navigation hazard composed of coral ;опасность для надводного плавания, состоящая из кораллов ;coral reef(s) ;коралловые рифы) ;b0179d44-b545-4b6a-94e3-48fc1fb1d13d
H ;RFX ;" " ;" " ;section of reef ;часть рифа ;3eb24a40-30fa-4272-97f4-7bf1b903952d
H ;RPDS ;a turbulent section of a stream associated with a steep, irregular stream bed ;бурный участок реки, связанный с крутым, неровным руслом ;rapids ;пороги ;422cc3bf-bf8f-4357-9be3-3e8394e58f20
H ;RSV ;an artificial pond or lake ;искусственный пруд или озеро ;reservoir(s) ;резервуар(ы) ;b70697c2-d2fd-4e4f-923b-dcfeb4296e34
H ;RSVI ;" " ;" " ;intermittent reservoir ;перемежающийся резервуар ;31a201c5-5b3c-478c-929a-e431c182bb34
H ;RSVT ;a contained pool or tank of water at, below, or above ground level ;закрытый бассейн или резервуар с водой на уровне земли, ниже или выше уровня земли ;water tank ;водный танк ;67dfd234-1c46-4bb2-9c60-e7f9c9314ea6
H ;RVN ;a small, narrow, deep, steep-sided stream channel, smaller than a gorge ;небольшой, узкий, глубокий ручей с крутыми берегами, меньше ущелья ;ravine(s) ;овраг(и) ;b5934a51-3eaa-4c69-a408-be65a8c7e11a
H ;SBKH ;a salt flat or salt encrusted plain subject to periodic inundation from flooding or high tides ;солончак или покрытая солью равнина, подверженная периодическим затоплениям в результате наводнений или приливов ;sabkha(s) ;сабха (ы) ;636e8b86-f923-4b58-8848-b691c0ffd304
H ;SEA ;a large body of salt water more or less confined by continuous land or chains of islands forming a subdivision of an ocean ;большой водоем с соленой водой, более или менее ограниченный непрерывной сушей или цепочками островов, образующих часть океана ;sea ;море ;686a5c75-9b92-43c3-a50f-df926ed7ce88
H ;SHOL ;a surface-navigation hazard composed of unconsolidated material ;опасность для надводного плавания, состоящая из рыхлого материала ;shoal(s) ;косяк(и) ;1c942e84-8e56-41b6-86ab-28321ecff076
H ;SILL ;the low part of an underwater gap or saddle separating basins, including a similar feature at the mouth of a fjord ;нижняя часть подводной щели или седловины, разделяющей котловины, включая аналогичный элемент в устье фьорда ;sill ;подоконник ;8be18a39-497c-47ea-a56e-d9b7b7f3c594
H ;SPNG ;a place where ground water flows naturally out of the ground ;место, где грунтовые воды естественным образом вытекают из земли ;spring(s) ;пружина (ы) ;ec5232d5-8f98-47a9-a91a-3358096f967e
H ;SPNS ;a place where sulphur ground water flows naturally out of the ground ;место, где сернистые грунтовые воды естественным образом вытекают из-под земли ;sulphur spring(s) ;серный источник (и) ;f8b4ee03-e16b-4ac5-9880-5ea68d38548a
H ;SPNT ;a place where hot ground water flows naturally out of the ground ;место, где горячие грунтовые воды естественным образом вытекают из-под земли ;hot spring(s) ;горячие источники) ;7e683639-1f88-4818-816d-94ca98ab0eb4
H ;STM ;a body of running water moving to a lower level in a channel on land ;масса проточной воды, движущейся на более низкий уровень в канале на суше ;stream ;транслировать ;28d37105-52eb-4e38-972e-f301b68432cf
H ;STMA ;a diverging branch flowing out of a main stream and rejoining it downstream ;расходящаяся ветвь, вытекающая из основного потока и присоединяющаяся к нему ниже по течению ;anabranch ;анаветвь ;fcddb203-4121-446c-b741-731dd7ebac94
H ;STMB ;a conspicuously curved or bent segment of a stream ;заметно изогнутый или изогнутый участок ручья ;stream bend ;изгиб ручья ;44a9c2ec-5eec-4b46-9eb3-611c08a4bb52
H ;STMC ;a stream that has been substantially ditched, diked, or straightened ;ручей, который был существенно обрызган, обвалован или выпрямлен ;canalized stream ;канализированный поток ;3ab7b265-13ac-45aa-95b5-526b492b4855
H ;STMD ;a branch which flows away from the main stream, as in a delta or irrigation canal ;ответвление, оттекающее от основного русла, например, в дельте или ирригационном канале ;distributary(-ies) ;дистрибьютор(-ы) ;9c71d28d-92e8-4477-9587-4d48b7d6fb11
H ;STMH ;the source and upper part of a stream, including the upper drainage basin ;исток и верхняя часть ручья, включая верхний водосборный бассейн ;headwaters ;верховья ;7888ad68-5631-469f-93f2-f47096986b43
H ;STMI ;" " ;" " ;intermittent stream ;прерывистый поток ;4674e253-b9e9-42d4-ac2a-06e1fe26ce73
H ;STMIX ;" " ;" " ;section of intermittent stream ;участок прерывистого потока ;e6ae6062-216b-44b7-a6b6-cae2ef50d620
H ;STMM ;a place where a stream discharges into a lagoon, lake, or the sea ;место, где ручей впадает в лагуну, озеро или море ;stream mouth(s) ;устье ручья ;25fc3057-c478-43e3-9bd1-1f2c37b90aee
H ;STMQ ;a former stream or distributary no longer carrying flowing water, but still evident due to lakes, wetland, topographic or vegetation patterns ;бывший ручей или водоток, больше не несущий проточной воды, но все еще очевидный из-за озер, заболоченных земель, топографических или растительных структур ;abandoned watercourse ;заброшенный водоток ;b630b117-8624-409e-9dd7-c6398468a4b1
H ;STMS ;bodies of running water moving to a lower level in a channel on land ;водоемы с проточной водой, движущиеся на более низкий уровень в канале на суше ;streams ;потоки ;7343160a-0cc5-4cab-8daa-6507ca22cd3a
H ;STMSB ;a surface stream that disappears into an underground channel, or dries up in an arid area ;поверхностный поток, который уходит в подземный канал или пересыхает в засушливой местности ;lost river ;потерянная река ;135fa856-4164-4b04-ba59-570a1d07ec2c
H ;STMX ;" " ;" " ;section of stream ;участок потока ;92a09faa-0891-4ae8-9eb3-ba3de58298ff
H ;STRT ;a relatively narrow waterway, usually narrower and less extensive than a sound, connecting two larger bodies of water ;относительно узкий водный путь, обычно более узкий и менее протяженный, чем пролив, соединяющий два больших водоема ;strait ;пролив ;e66e740b-4795-4585-9f2d-000c526a1ba2
H ;SWMP ;a wetland dominated by tree vegetation ;заболоченное место с преобладанием древесной растительности ;swamp ;болото ;b8094766-2af8-483b-848f-2f7908a32c92
H ;SYSI ;a network of ditches and one or more of the following elements: water supply, reservoir, canal, pump, well, drain, etc. ;сеть арыков и один или несколько следующих элементов: водопровод, резервуар, канал, насос, колодец, слив и т. д. ;irrigation system ;система орошения ;1244e218-bcff-47cc-a691-b9879a97b0c5
H ;TNLC ;a tunnel through which a canal passes ;тоннель, через который проходит канал ;canal tunnel ;тоннель канала ;2d9dd347-33fe-40ca-9f64-5773c89bd7b4
H ;WADB ;a conspicuously curved or bent segment of a wadi ;заметно изогнутый или изогнутый участок вади ;wadi bend ;вади изгиб ;a11130ed-af40-4e11-9ac0-29872820d6cf
H ;WADJ ;a place where two or more wadies join ;место, где соединяются два или более вади ;wadi junction ;перекресток вади ;d699cf67-82c1-4a7e-8509-739b1c5767dc
H ;WADM ;the lower terminus of a wadi where it widens into an adjoining floodplain, depression, or waterbody ;нижняя оконечность вади, где она переходит в прилегающую пойму, впадину или водоем ;wadi mouth ;устье вади ;61e68676-4269-453a-9cf6-2d081e74fa72
H ;WADX ;" " ;" " ;section of wadi ;участок вади ;f88e8f86-b4fe-46de-9a13-800fd59a6a56
